$id,event,postEvent,effect:CHR,effect:INT,effect:STR,effect:MNY,effect:SPR,effect:LIF,effect:AGE,NoRandom,include,exclude,branch[],branch[],branch[]
10212,和女同学谈恋爱。,,,,,,1,,,,"(EVT?[10009])&((EVT?[10001,10110,10111])|(TLT?[1026]))","(EVT?[10212,10198,10025,10156,10155])|(TLT?[1027])|((EVT?[10001])&(TLT?[1026]))",,,
10213,有同学翻学校围墙逃课，意外身亡。,,,,,,,,,,EVT?[10101],EVT?[10213],TLT?[1108]:20213,,
20213,由于你喜欢没事找事，你也试着翻围墙，结果也死了。,,,,,,,,,1,,,EVT?[10101]:10000,,
10214,性启蒙。,,,,,,,,,,EVT?[10009],EVT?[10214],,,
10215,遇上街上的黑社会对拼，很震撼。,,,,,,,,,,EVT?[10009],"EVT?[10215,10185]",TLT?[1108]:20215,,
20215,你想离近点看，结果被流弹击中。,,,,,,,,,1,,,EVT?[10009]:10000,,
10216,坐公交车被劫车收保护费。,,,,,,,,,,EVT?[10009],"EVT?[10216,10185]",,,
10217,被同学骗沾染毒品。,,,,-2,-1,1,,,,"EVT?[10009,10185,10186,10187,10188]",(EVT?[10217])|(TLT?[1040]),,,STR<1:10000
10218,学会赌博。,,,,,-2,-1,,,,"EVT?[10009,10185,10186,10187,10188]",(EVT?[10218])|(TLT?[1040]),,,
10219,被同学带去嫖娼。,,,,,,1,,,,"(EVT?[10009,10185,10186,10187,10188])&(EVT?[10001])",,,,
10220,你吸毒被捕。,进了戒毒所。,,,-1,-1,-1,,,,EVT?[10217],EVT?[10220],SPR<2:10062,,STR<1:10000
10221,你日渐消瘦。,,,,-1,,-1,,,,EVT?[10217],,SPR<2:10062,,STR<1:10000
10222,你戒掉了毒品。,,,,,,-1,,,,EVT?[10220],EVT?[10222],,,SPR<2:10062
10223,你四处借贷，倾家荡产。,,,,,-2,-2,,,,EVT?[10218],EVT?[10223],SPR<2:10062,,MNY<2:10013
10224,去城里看亲戚。,你很羡慕他们家什么都有。,,,,,,,,,(MNY<5)&(EVT?[10009]),EVT?[10224],,,
10225,到同学家借书看。,,,,,,,,,,"(CHR>3)&(MNY<5)&(EVT?[10199,10200,10184])",EVT?[10225],,,
10226,混不下去了，回老家种田。,,,,,,,,,,"(INT<8)&(EVT?[10025,10156,10155])",EVT?[10226],,,
10227,有同学退学结婚了。,,,,,,,,,,EVT?[10101],EVT?[10227],,,
10228,你开始相亲。,,,,,,,,,,EVT?[10222],"(EVT?[10228,10229])|(TLT?[1027])",,,
10229,你结婚了。,,,,,,1,,,,EVT?[10228],"EVT?[10229,11171,11232,11093,10610,10611,10612]",,,
10230,你被家人逼着去和一个不喜欢的村民结婚。,,,,,,-2,,,,"EVT?[10198,10155,10156,10226]","(EVT?[10230,10016,11232,10017])|(TLT?[1015])",TLT?[1027]:10232,,SPR<2:10062
10231,你和村中一个你喜欢的姑娘在一起了。,,,,,,2,,,,"(EVT?[10198,10155,10156])&((EVT?[10001,10110,10111])|(TLT?[1026]))","(EVT?[10230,10231])|(TLT?[1027])",,,
10232,你誓死不从，自杀了。,,,,,,,,,1,,,TLT?[1027]:10000,,
10233,你和隔壁村一个你喜欢的小伙在一起了。,,,,,,2,,,,"(EVT?[10198,10155,10156])&((EVT?[10002,10110,10111])|(TLT?[1026]))","(EVT?[10230,10231])|(TLT?[1027])",,,
10234,你和另一个游戏主播结婚了。,,,,,,1,,,,"EVT?[10195,10197]",(EVT?[10234])|(TLT?[1027]),,,
10235,你找到了一个适合的人，结婚了。,,,,,,1,,,,(EVT?[10210])&(EVT?[10009]),(EVT?[10235])|(TLT?[1027]),,,
10236,你年龄大了，随便找了一个将就着结婚了。,,,,,,,,,,EVT?[10009],"(EVT?[10235,10236,10234,10250,10233,10231,10230,10229,11232,10610,10611,10612,10088])|(TLT?[1027])",,,
10237,高考，你考上了专科。,,,,,,,,,,(INT<6)&(EVT?[10199]),"EVT?[10237,10238,10239,10468]",,,
10238,高考，你考上了当地的普通本科。,,,,,,,,,,"(INT>5)&(EVT?[10199,10200])","(INT>7)|(EVT?[10238,10237,10239,10468])",,,
10239,高考，你考上了大城市的重点本科。,,,,,,1,,,,"(INT>7)&(EVT?[10199,10200])","EVT?[10239,10238,10237,10468]",,,
10240,你参加了社会实践。,,,,,,,,,,"EVT?[10237,10238,10239]",EVT?[10240],,,
10241,你参加了志愿者活动。,,,,,,,,,,"EVT?[10237,10238,10239]",EVT?[10241],,,
10242,发现班上至少一半同学天天翘课。,,,,,,,,,,"EVT?[10237,10238,10239]",EVT?[10242],,,
10243,你漏了一节思修课没上，打开了开关。,之后经常翘课了。,,,,,,,,,"EVT?[10237,10238,10239]",EVT?[10243],,,
10244,加入了学生会。,,,,,,,,,,"EVT?[10237,10238,10239]",EVT?[10244],,,
10245,和同院的一个女生谈恋爱。,,,,,,1,,,,"(EVT?[10237,10238,10239])&((EVT?[10001,10110,10111])|(TLT?[1026]))",(EVT?[10245])|(TLT?[1027])|((EVT?[10001])&(TLT?[1026])),,,
10246,和同院的一个男生谈恋爱。,,,,,,1,,,,"(EVT?[10237,10238,10239])&((EVT?[10002,10110,10111])|(TLT?[1026]))",(EVT?[10246])|(TLT?[1027])|((EVT?[10002])&(TLT?[1026])),,,
10247,遭到了附近的恶霸殴打，报警不管，举报无门。,只能忍气吞声。,,,,,-2,,,,(STR<7)&(EVT?[10009]),EVT?[10247],SPR<3:10248,,
10248,你怀恨在心，买了水果刀将恶霸捅死了。,你被刑事拘留。,,,,,1,,,1,,,,,
10249,恶霸家手眼通天，你被判处死刑。,,,,,,-2,,,,EVT?[10248],EVT?[10249],EVT?[10248]:10000,,
10250,你和大学对象步入了婚姻的殿堂。,,,,,,1,,,,"EVT?[10245,10246]","(EVT?[10250,10251])|(TLT?[1027])",,,
10251,你开始相亲。,,,,,,,,,,"EVT?[10237,10238,10239]","(EVT?[10251,10236,10229,10250,10245,10246])|(TLT?[1027])",,,
10252,你始终找不到合适的对象。,,,,,,-1,,,,EVT?[10251],,,,
10253,你的父亲因病去世。,母亲也随之去世。,,,,,,,,,EVT?[10009],"EVT?[10253,10016,10017,10125,10126,10254,10255,10256,10257]",,,
10254,你的母亲发生车祸去世。,,,,,,,,,,EVT?[10009],"(EVT?[10253,10016,10126,10254,10257])|(TLT?[1043])",,,
10255,你的父亲意外去世。,,,,,,,,,,EVT?[10009],"EVT?[10253,10017,10125,10255,10256]",,,
10256,你的父亲突发心血管疾病去世。,,,,,,,,,,EVT?[10009],"(EVT?[10253,10017,10125,10255,10256])|(TLT?[1044])",,,
10257,你的母亲重病去世。,,,,,,,,,,EVT?[10009],"EVT?[10253,10016,10126,10254,10257]",,,
10258,你想要参军。,,,,,,,,,,"(STR>5)&(EVT?[10009,10940])","EVT?[10198,10199,10200,10025,10156,10155,10258]",,,
10259,你正式入伍。,,,,,,,,,,EVT?[10258],"EVT?[10259,10468]",,,
10260,平淡但不平凡的军旅生涯。,,,,,,,,,,EVT?[10259],,,,
10261,你比其他战士更能吃苦耐劳。,,,,,,1,,,,(STR>7)&(EVT?[10259]),EVT?[10261],,,
10262,你的智慧让其他人刮目相看。,,,,,,1,,,,(INT>7)&(EVT?[10259]),EVT?[10262],,,
10263,你的颜值让同性都忍不住多看几眼。,,,,,,,,,,(CHR>7)&(EVT?[10259]),EVT?[10263],,,
10264,你退伍了。,在县城当上了保安。,,,,1,,,,,EVT?[10259],EVT?[10264],TLT?[1045]:10265,,
10265,当上了村委书记。,,,,,2,,,,1,,,,,
10266,你和隔壁村老村委书记家的孩子结婚了。,,,,,,,,,,EVT?[10265],(EVT?[10266])|(TLT?[1027]),,,
10267,你在一次演习中发生了意外。,运气好，没有受伤。,,,,,,,,,EVT?[10259],EVT?[10267],INT<6:10000,,
10268,你们生了一个女儿。,,,,,,1,,,,"EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236]","(TLT?[1041,1046,1026])|(EVT?[10269,10110,10279])",,,
10269,你们生了一个儿子。,,,,,,1,,,,"EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236]","(TLT?[1041,1046,1026])|(EVT?[10269,10110,10279])",,,
10270,因为你不想生孩子，你们离婚了。,,,,,,,,,,"(EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236])&(TLT?[1041])","(EVT?[10270,10270,10271,11294,11295,10281,10282,20076,10110,10279])|(TLT?[1123])",,,
10271,生不出孩子，医院检查发现你功能有问题。,你们离婚了。,,,,,,,,,"(EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236])&(TLT?[1046])","(EVT?[10271,10279,10270,10271,11294,20076,11295,10281])|(TLT?[1123])",,,
10272,你们领养了一个孩子。,,,,,,1,,,,"(EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236])&(TLT?[1026])","EVT?[10272,11295,10281,10282,10279]",,,
10273,普通的家庭生活。,你感觉时间过得越来越快。,,,,,,,,,"EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236]",EVT?[10279],,,
10274,你感觉生活越来越无趣，你很怀念小时候。,,,,,,,,,,"EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236]",,,,
10275,家庭琐事很多，你们经常吵架。,,,,,,-1,,,,"EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236]","EVT?[10279,11295,10281,20076,10270,10282,10271,11294,20076]",(TLT![1123])&(SPR<3):20076,,
10276,结婚周年纪念日，你们分床而睡。,,,,,,,,,,"(SPR<4)&(EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236])","EVT?[10276,11295,10281,10282,10279,20076,10270,10271,11294,20076]",(TLT![1123])&(SPR<3):20076,,
20076,你们离婚了。,,,,,,,,,1,,,,,
10277,小时候一件小事你都能记很久。,现在你却连上个月的事都记不清了。,,,-1,,,,,,"(INT<7)&(EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236])",EVT?[10277],,,
10278,你感觉自己老得越来越快，颜值不再。,,-1,,,,,,,,"(CHR>4)&(EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236])",,,,
10279,你的爱人病重。,,,,,-1,-1,,,,"EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236]","(EVT?[10279,20076])|(TLT?[1047])",,,
10280,你的爱人病重。,,,,,,-1,,,,TLT?[1047],"EVT?[10280,20076]",,,
10281,你的爱人去世了。,,,,,,-1,,,,"EVT?[10279,10280]","EVT?[10281,20076,11295]",,,
10282,你的爱人发生车祸去世。,,,,,,-2,,,,"EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236]","(EVT?[10282,10279,20076])|(TLT?[1043,1047])",,,
10283,孩子经常和你吵架。,,,,,,-1,,,,"EVT?[10268,10269,10272]",,,,
10284,孩子长得越来越可爱。,,,,,,1,,,,"(CHR>5)&(EVT?[10268,10269,10272])",,,,
10285,孩子很聪明。,,,,,,1,,,,"(INT>6)&(EVT?[10268,10269,10272])",EVT?[10285],,,
10286,你有孙子了。,,,,,,1,,,,"EVT?[10268,10269,10272]","EVT?[10286,20076]",,,
10287,你有孙女了。,,,,,,1,,,,"EVT?[10268,10269,10272]","EVT?[10287,20076]",,,
10288,你为自己而活，过得很快乐。,,,,,,1,,,,"(TLT?[1041,1027])&(EVT?[10009])",,,,
10289,你遭遇了严重的车祸。,,,,,,,,,,EVT?[10009],TLT?[1043],"EVT?[10007,10008]:30002",,EVT?[10009]:10000
10290,你查出了晚期癌症。,,,,,,,,,,(STR<6)&(EVT?[10009]),EVT?[10290],EVT?[10009]:10000,,
10291,你突发心血管疾病去世。,,,,,,,,,,(STR<6)&(EVT?[10009]),TLT?[1044],EVT?[10009]:10000,,
10292,你的身体越来越差了。,,,,-1,,,,,,(STR<6)&(EVT?[10009]),EVT?[10292],,,
10293,你经常锻炼，身体还不错。,,,,,,1,,,,(STR>5)&(EVT?[10009]),EVT?[10293],,,
10294,你在睡梦中安然离世。,,,,,,1,,,,(STR>5)&(EVT?[10009]),(TLT?[1048])|(EVT?[10294]),EVT?[10009]:10000,,
10295,你后悔年轻时没有做更多的事。,大人的生活真的很无趣。,,,,,,,,,"EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236]",EVT?[10295],(STR<5)&(MNY>5):20296,,
20296,你花钱在周边转了转，但没余力走更远了。,,,,,-1,,,,,,,,,
10296,你攒了不少钱。,,,,,1,,,,,"(TLT?[1041,1027])&(EVT?[10009])",EVT?[10296],,,
10297,你去南方旅游。,,,,,,1,,,,"(TLT?[1041,1027])&(EVT?[10009])",EVT?[10297],,,
10298,你去北方旅游。,,,,,,1,,,,"(TLT?[1041,1027])&(EVT?[10009])",EVT?[10298],,,
10299,你去西藏旅游。,,,,,,1,,,,"(TLT?[1041,1027])&(EVT?[10009])",EVT?[10299],,,
10300,你去新疆旅游。,,,,,,1,,,,"(TLT?[1041,1027])&(EVT?[10009])",EVT?[10300],,,
10301,你去爬黄山。,,,,,,1,,,,"(TLT?[1041,1027])&(EVT?[10009])",EVT?[10301],,,
10302,你去爬泰山。,,,,,,1,,,,"(TLT?[1041,1027])&(EVT?[10009])",EVT?[10302],,,
10303,你去杭州看西湖。,,,,,,1,,,,"(TLT?[1041,1027])&(EVT?[10009])",EVT?[10303],,,
10304,你去蒙古看草原。,,,,,,1,,,,"(TLT?[1041,1027])&(EVT?[10009])",EVT?[10304],,,
10305,你去北京旅游。,,,,,,1,,,,"(TLT?[1041,1027])&(EVT?[10009])",EVT?[10305],,,
10306,你去上海旅游。,,,,,,1,,,,"(TLT?[1041,1027])&(EVT?[10009])",EVT?[10306],,,
10307,你突然发现，从你结婚那天起，你的人生就结束了。,,,,,,,,,,"(SPR<4)&(EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236])",EVT?[10307],,,
10308,你小病不断。,,,,,,,,,,(STR<5)&(EVT?[10009]),EVT?[10308],,,
10309,你近视了。,,,,,,,,,,(STR<9)&(EVT?[10009]),EVT?[10309],,,
10310,你老花眼了。,,,,,,,,,,(STR<5)&(EVT?[10009]),EVT?[10310],,,
10311,你换了好几颗牙。,,,,,,,,,,EVT?[10009],EVT?[10311],,,
10312,你掉了好几颗牙。,,,,,,,,,,"(STR<9)&(EVT?[10009,10010])",EVT?[10312],,,
10313,你耳朵听不清了。,,,,,,,,,,"(STR<9)&(EVT?[10009,10010])",EVT?[10313],,,
10314,你有点失忆，忘掉了不少东西。,,,-3,,,1,,,,"(INT>2)&(EVT?[10009,10010])",(INT>7)|(EVT?[10314]),,,
10315,你瘫痪了。,,,,,,,,,,(STR<3)&(EVT?[10009]),EVT?[10315],,,
10316,和你同一代的熟人开始纷纷离世。,,,,,,,,,,"EVT?[10009,10010]",EVT?[10316],,,
10317,你发现自己成了一个无趣的中年人。,,,,,,,,,,"EVT?[10235,10236,10234,10233,10231,10230,10229,10088,10236]",EVT?[10317],INT>5:20317,,
20317,为了能和年轻人有共同语言，你开始了解潮流。,,,,,,,,,1,,,,,
10318,时代在进步，你完全搞不懂新的电子产品。,,,,,,,,,,(INT<7)&(EVT?[10009]),EVT?[10318],,,
10319,你听不懂年轻人在说什么。,,,,,,,,,,(INT<9)&(EVT?[10009]),EVT?[10319],,,
10320,你的颜值仍然过人。,,,,,,,,,,"(CHR>6)&(EVT?[10009,10010])",EVT?[10320],,,
10321,"时代在进步,新一代VR设备你仍然了如指掌。",,,,,,,,,,(MNY>4)&(INT>7)&(EVT?[10009]),EVT?[10321],,,
10322,你发现孩子不是亲生的。,你装作不知道。,,,,,-2,,,,"EVT?[10268,10269]","EVT?[10322,10002]",SPR<2:10062,,
10323,你从盒子中获得了练气法门，突破到凝气一层。,寿元提升到200年。,3,3,3,,2,,,,TLT?[1048],EVT?[10323],,,
20323,祖传的小盒子中散出了奇怪的气体。,你感觉自己体质提升了。,,,10,,,,,,TLT?[1048],EVT?[20323],,,
10324,练气。,体质提升。,,,1,,,,,,TLT?[1048],EVT?[10333],,,
10325,你突破到凝气二层。,,,,1,,,,,,(EVT?[10323])&(STR>10)&(TLT?[1048]),EVT?[10325],,,
10326,你突破到凝气三层。,,,,1,,,,,,(EVT?[10325])&(STR>12)&(TLT?[1048]),EVT?[10326],,,
10327,你突破到凝气四层。,,,,1,,,,,,(EVT?[10326])&(STR>15)&(TLT?[1048]),EVT?[10327],,,
10328,你突破到凝气五层。,,,,1,,,,,,(EVT?[10327])&(STR>20)&(TLT?[1048]),EVT?[10328],,,
10329,你突破到凝气六层。,,,,1,,,,,,(EVT?[10328])&(STR>25)&(TLT?[1048]),EVT?[10329],,,
10330,你突破到凝气七层。,,,,1,,,,,,(EVT?[10329])&(STR>30)&(TLT?[1048]),EVT?[10330],,,
10331,你突破到凝气八层。,,,,1,,,,,,(EVT?[10330])&(STR>38)&(TLT?[1048]),EVT?[10331],,,
10332,你突破到凝气九层。,,,,1,,,,,,(EVT?[10331])&(STR>50)&(TLT?[1048]),EVT?[10332],,,
20332,你遭到了一个恶堕的魔法少女，并展开战斗。,你战胜了她。,,,,,1,,,,TLT?[1048],EVT?[20332],STR<88:10000,,
20333,你意外得到了一个元婴修士的传承。,,,10,100,,,,,,(INT>9)&(TLT?[1048]),EVT?[20333],,,
20334,你参加一个宗派的入门大比。,没有成功。,,,,,,,,,TLT?[1048],EVT?[20334],STR>20:20335,,
20335,你通过大比，成为了外门弟子。,,,,,,,,,1,,,,,
20336,你外出执行宗门任务。,没有成功，返回宗门。,,,,,,,,,EVT?[20335],EVT?[20336],(STR>30)&(INT>7):20337,,(STR<25)&(INT<5):10000
20337,你顺利完成任务，获得奖励。,,,,20,2,,,,1,,,,,
20338,你服用了宗门发放的养颜丹。颜值提升。,,5,,,,,,,,EVT?[20335],EVT?[20338],,,
20339,你喜欢上了宗门的一个小师妹。,,,,,,,,,,((EVT?[20335])&(EVT?[10001]))|((EVT?[20335])&(EVT?[10002])&(TLT?[1026])),"(EVT?[20339])|(TLT?[1027,1134])",,,
20340,你喜欢的小师妹在一次外出执行任务中，被一个筑基修士斩杀了。,,,,,,-2,,,,EVT?[20339],EVT?[20340],STR>100:20341,,
20341,你外出寻找那个筑基修士报仇。,,,,,,,,,1,,,,,
20342,你找到了那个杀害小师妹的修士，并与之战斗。,,,,,,,,,,EVT?[20341],EVT?[20342],STR>119:20343,,STR<120:10000
20343,你斩杀了筑基修士，获得少量宝物，和小师妹的一枚戒指。,,,,5,,,,,1,,,TLT?[1129]:20349,,
20349,你悲伤攻心走火入魔，人格也因此合并了。,,,,-5,,,,,1,,,,,
20344,你参加宗门内部大比。,在过程中被淘汰。,,,,,,,,,EVT?[20335],EVT?[20345],STR>30:20345,,
20345,你晋升成了内门弟子。,,,,5,1,1,,,1,,,,,
20346,你参加内门弟子大比。,在过程中被淘汰。,,,,,,,,,EVT?[20345],"EVT?[20347,20348]",STR>150:20348,,STR>100:20347
20347,你晋升成了核心弟子。,,,,10,1,1,,,1,,,,,
20348,你被宗门长老收为亲传弟子。,,,,20,2,1,,,1,,,,,
10333,你突破到筑基一层。,寿元提升到300年。,,1,10,,,,,,(EVT?[10332])&(STR>100)&(TLT?[1048]),EVT?[10333],,,
10334,你捡到异果，体质大幅提升。,,,,10,,,,,,TLT?[1048],,,,
10335,你发现灵气浓郁之处，体质大幅提升。,,,,20,,,,,,TLT?[1048],,,,
10336,锻体。,体质提升。,,,2,,,,,,(EVT?[10333])&(STR>100)&(TLT?[1048]),"EVT?[10345,10361]",,,
10337,你突破到筑基二层。,,,,2,,,,,,(EVT?[10333])&(STR>120)&(TLT?[1048]),EVT?[10337],,,
10338,你突破到筑基三层。,,,,2,,,,,,(EVT?[10337])&(STR>140)&(TLT?[1048]),EVT?[10338],,,
10339,你突破到筑基四层。,,,,2,,,,,,(EVT?[10338])&(STR>160)&(TLT?[1048]),EVT?[10339],,,
10340,你突破到筑基五层。,,,,2,,,,,,(EVT?[10339])&(STR>190)&(TLT?[1048]),EVT?[10340],,,
10341,你突破到筑基六层。,,,,2,,,,,,(EVT?[10340])&(STR>220)&(TLT?[1048]),EVT?[10341],,,
10342,你突破到筑基七层。,,,,2,,,,,,(EVT?[10341])&(STR>250)&(TLT?[1048]),EVT?[10342],,,
10343,你突破到筑基八层。,,,,2,,,,,,(EVT?[10342])&(STR>280)&(TLT?[1048]),EVT?[10343],,,
10344,你突破到筑基九层。,,,,2,,,,,,(EVT?[10343])&(STR>320)&(TLT?[1048]),EVT?[10344],,,
10345,你突破到金丹一层。,寿元提升到400年。,,2,20,,,,,,(EVT?[10344])&(STR>400)&(TLT?[1048]),"EVT?[10345,10361]",,,
40001,你打开小盒子，获得练气法门，但你发现乞丐给你的《仙脉图录》更加高明，是传说中的太古修行法门。,你修炼太古法门，突破到净息前期。寿元提升到500年。,5,5,5,,3,,,,(TLT?[1048])&(EVT?[20461]),EVT?[40001],,,
40002,排出凡胎杂质。体质提升。,,,,5,,,,,,"EVT?[40001,40061]",EVT?[40010],,,
40003,你突破到净息中期。,,,,10,,,,,,"(EVT?[40001,40061])&(STR>100)",EVT?[40003],,,
40004,你突破到净息后期。,,,,10,,,,,,(EVT?[40003])&(STR>200),EVT?[40004],,,
40005,你突破到净息巅峰。,,,,10,,,,,,(EVT?[40004])&(STR>300),EVT?[40005],,,
40006,你闯入一处秘境，夺得大量资源。,,,,20,,,,,,"EVT?[40001,40061]",EVT?[40010],,,
40007,你排出大量杂质，颜值提升。,,1,,,,,,,,"EVT?[40001,40061]",EVT?[40010],,,
40008,你斩杀一个凝气修士，得到少量宝物。,,,1,3,,,,,,"EVT?[40001,40061]",EVT?[40010],,,
40009,你斩杀了一个筑基修士，得到宝物。,,,2,10,,,,,,"(EVT?[40001,40061])&(STR>100)",EVT?[40010],,,
40010,你进行无垢筑基，实力远胜于寻常筑基。,你突破到筑基前期。,,,20,,,,,,(EVT?[40005])&(STR>500),EVT?[40010],,,
40011,无垢淬体。体质提升。,,,,10,,,,,,EVT?[40010],EVT?[40023],,,
40012,你突破到筑基中期。,,,,30,,,,,,(EVT?[40010])&(STR>800),EVT?[40012],,,
40013,你突破到筑基后期。,,,,30,,,,,,(EVT?[40012])&(STR>1200),EVT?[40013],,,
40014,你突破到筑基巅峰。,,,,30,,,,,,(EVT?[40013])&(STR>1600),EVT?[40014],,,
40015,你参加筑基天才战，夺得第一。,得到大量奖励。并被一位渡劫大能收为亲传。,,10,100,,,,,,EVT?[40010],EVT?[40015],,,
40016,你觉醒一般元婴期才有的神识。,,,,,,,,,,EVT?[40010],EVT?[40016],,,
40017,你悟出了火之大道。,,,20,20,,,,,,EVT?[40010],EVT?[40017],,,
40018,你悟出了金之大道。,,,20,20,,,,,,EVT?[40010],EVT?[40018],,,
40019,你悟出了木之大道。,,,20,20,,,,,,EVT?[40010],EVT?[40019],,,
40020,你悟出了水之大道。,,,20,20,,,,,,EVT?[40010],EVT?[40020],,,
40021,你悟出了土之大道。,,,20,20,,,,,,EVT?[40010],EVT?[40021],,,
40022,完美淬体，体质大幅提升。,,,,20,,,,,,EVT?[40010],EVT?[40023],,,
40023,你体内灵息汇聚成丹海，又复归流转周身经脉，形成灵脉。,你突破到灵脉前期。,,30,50,,,,,,(EVT?[40014])&(STR>2000),EVT?[40023],,,
40024,灵脉运行，体质和智力提升。,,,10,20,,,,,,EVT?[40023],EVT?[40039],,,
40025,悟道。,,,30,,,,,,,EVT?[40023],EVT?[40039],,,
40026,你突破到灵脉中期。,丹海中凝聚出两颗金丹。,,30,50,,,,,,(EVT?[40023])&(INT>500),EVT?[40026],,,
40027,你突破到灵脉后期。,丹海中凝聚出四颗金丹。,,30,50,,,,,,(EVT?[40023])&(INT>1000),EVT?[40027],,,
40028,你突破到灵脉巅峰。,丹海中凝聚出八颗金丹。,,30,100,,,,,,(EVT?[40023])&(INT>2000),EVT?[40028],,,
40029,你斩杀了一位渡劫期修士。获得大量资源。,,,50,200,,,,,,(EVT?[40023])&(STR>2000),EVT?[40039],,,
40030,你斩杀一位元婴修士，获得大量资源。,,,20,100,,,,,,(EVT?[40023])&(STR>1000),EVT?[40039],,,
40031,你摧毁了一个魔道宗门，斩杀数位灾劫境魔修。,,,50,500,,,,,,(EVT?[40023])&(STR>2000),EVT?[40039],,,
40032,你遇到一位伪仙境的魂修，他想夺舍你，被你反杀。,,,100,,,,,,,(EVT?[40023])&(INT>1000),"EVT?[40032,40039]",,,
40033,你遇到一位神游境魂修大能，你被夺舍了。,,,,,,,,,,"EVT?[40001,40061]","EVT?[40010,40039]",STR>1:10000,,
40034,你悟出了空间大道。,,,50,50,,,,,,EVT?[40010],EVT?[40034],,,
40035,你悟出了时间大道。,,,50,50,,,,,,EVT?[40010],EVT?[40035],,,
40036,你悟出了混沌大道。,,,100,100,,,,,,EVT?[40010],EVT?[40036],,,
40037,你悟出了生命大道。,,,75,75,,,,,,EVT?[40010],EVT?[40037],,,
40038,你悟出了毁灭大道。,,,75,75,,,,,,EVT?[40010],EVT?[40038],,,
40039,你突破到化神期。你本应该感应古天劫之力修炼，随时引动天劫渡劫，但古仙界已经覆灭，没有古天劫了。,,,200,200,,,,,,(EVT?[40028])&(EVT?[40036]),EVT?[40039],EVT?[40028]:40040,,
40040,你撕裂世界之壁，踏碎虚空而去。,,,,,,,,,1,,,,,
40041,寿元终。,,,,,,,,,,"EVT?[40001,40061]","EVT?[40050,40058]",EVT?[40001]:10000,,
40042,你在界外星海漫游，寻找除古天劫之外的修炼方法。,,,,,,,,,,EVT?[40039],EVT?[40042],,,
40043,你在界外星海漫游。,,,,,,,,,,EVT?[40042],"EVT?[40049,40051]",,,
40044,你看到了很多破碎的星球。,,,,,,,,,,EVT?[40042],"EVT?[40049,40051]",,,
40045,你看到了很多漂浮的大陆，但上面都没有生命。,,,,,,,,,,EVT?[40042],"EVT?[40049,40051]",,,
40046,你闯入了一处远古战场遗迹。,没有找到什么有用的东西。,,,,,,,,,EVT?[40042],"EVT?[40049,40051]",,,
40047,你闯入了一处远古战场遗迹。,你找到了一些古籍。上面描述了古仙界破碎前的样子，你发现那时的主流修行法门不止《仙脉图录》一种，还有无需渡劫的《无上妙道文始真经》。,,,,,,,,,EVT?[40042],"EVT?[40047,40051]",,,
40048,你闯入了一处远古战场遗迹。,你找到了一些古籍。上面描述了《无上妙道文始真经》的境界划分：凡俗-清净-合一-无相-入道-羽化。入道之后悟出全部本源大道后即可直接飞升，无需渡劫。,,,,,,,,,EVT?[40047],"EVT?[40048,40051]",,,
40049,你闯入了一处远古战场遗迹。,得到了《无上妙道文始真经》修行法门。你开始转修，踏入入道境。,,,,,,,,,EVT?[40048],"EVT?[40049,40051]",,,
40050,你悟透全部本源大道，踏入羽化境，飞升仙界。,你作为“人”的一生结束了。,,,,,,-1,,,(EVT?[40049])&(EVT?[40038])&(EVT?[40037])&(EVT?[40035])&(EVT?[40034]),,,,
40051,你来到一个破碎的星球上，得到一本异界修行法门《星尘幻灭》。,你尝试理解异界文字。,,,,,,,,,EVT?[40044],"EVT?[40051,40049]",,,
40052,按《星尘幻灭》的说法，那些异界生命不修金丹，而是将金丹转化为太阴太阳，之后再进行极度危险的碎丹，进入凡尘期。凡尘期非常弱小，成功度过后便是星尘境，实力凌驾于仙之上。,你开始转修异界法门。,,,,,,,,,EVT?[40051],EVT?[40052],,,
40053,你成功将丹海凝聚成一颗太阳，八颗金丹转化为八大太阴。,,,,900,,,,,,EVT?[40052],EVT?[40053],,,
40054,你开始进行碎丹。你开始碎太阴。,,,,,,,,,,EVT?[40053],EVT?[40054],STR>3999:40055,,STR<4000:10000
40055,你开始碎太阳。,,,,,,,,,1,,,STR>4499:40056,,STR<4500:10000
40056,碎丹成功，你踏入凡尘期。需要进行千世轮回后再次碎丹成功，才能晋升星尘境。,,,,,,,,,1,,,TMS>999:40058,,TMS<1000:40057
40057,你还未满千世轮回，于是你再次进入了轮回之中。,,,,,,,,,1,,,TMS<1000:10000,,
